" should be numeric",应该是数字
" should not be empty",不应该是空的
"&copy; Copyright & License Info",&copy;版权和许可证信息
"* All settings adjusted by the guide can be changed later.<br>Click the <strong>Help Icon</strong> to find options & documentation","*以后可以更改指南调整的所有设置。<br>单击<strong>帮助图标</ strong>以查找选项和文档"
"1 Purchase Code per Website",1每个网站的购买代码
"1 Purchase Code per Website!",1每个网站购买代码！
"1on1 Support",1on1支持
"1st Frame",第一帧
"3D Effects Enabled","3D 效果已启用"
"3D Settings",3D设置
"A Slider with the given alias already exists",已存在具有给定别名的滑块
"Access Secret",访问秘密
"Access Token",访问令牌
"Action Delay",动作延迟
"Action Needed",需要采取行动
"Action Type",行动类型
Actions,操作
"Activate Add-On","启用 Add-On"
"Activate Global Add-On","启用 Global Add-On"
"Activate License",激活许可证
"Activate To Update",激活更新
Activated,活性
"Activating Add-On","激活 Add-On"
Activation,激活
"Add Action to ",添加动作
"Add Folder",新增文件夹
"Add Layer",添加图层
"Add LineBreak After","加 LineBreak 后"
"Add LineBreak Before","加 LineBreak 之前"
"Add New Meta","添新 Meta"
"Add New Navigation ",添加新导航
"Add Slide(s)","加 Slide(s)"
"Add Slider as Modal","加 Slider 如弹出"
"Add to Selection",添加到选择
"AddOn could not be activated","AddOn 无法激活"
"AddOn could not be deactivated","AddOn 无法停用"
"AddOn deactivated","AddOn 停用"
"AddOns Outdated. Please Update","AddOns 过时了。请更新"
"AddOns need attention","AddOns 需要注意"
"Adding new Blank Module...",添加新的空白模块......
"Addon Required","Addon 需要"
"Admin Thumb",管理员拇指
"Adv. Style",高级样式
Advanced,高级
"Advanced Actions",高级操作
"Advanced Module Embedding",高级模块嵌入
"Advanced Settings",高级设置
"After Action",行动之后
Album,专辑
Alias,别号
Aligment,对准
Align,对齐
"Aligned by",对齐通过
All,所有
"All Layers",所有图层
"Allow Fullscreen",允许全屏
"Alt. Image",备用图片
"Amount of Slides","金额 Slides"
"An Error Occured while importing",导入时出错
"Anim From",动画来自
"Anim To",动画到
"Animate From",动画来自
"Animate to ""Start"" in Loop",动画到“开始”在循环中
Animation,动画
"Animation Duration",动画持续时间
"Animation Duration in ms",动画持续时间以毫秒为单位
"Animation Ease",动画轻松
"Animation Template",动画模板
"Animation View",动画视图
"Animation could not be saved",动画无法保存
"Animation deleted",动画已删除
"Animation saved",动画保存
"Are you sure you want to continue?",你确定你要继续吗？
"Are you sure you want to delete ",你确定你要删除
"Are you sure you want to delete the selected Slide:",你确定你要删除选中的Slide:
"Are you sure you want to export ",您确定要导出吗？
Arguments,参数
"Arrow Style",箭头样式
"Arrow Type",箭头类型
Arrows,箭头
"As Modal",如弹出
Ascending,上升
"Aspect Ratio",宽高比
"Attach to BG",附上BG
Attributes,属性
Audio,音频
"Audio Wave Library is Loading...",音频波库正在加载......
Auto,汽车
"Auto Play",自动播放
"Auto Rotate",自动旋转
"Auto Rotate Slideshow",自动旋转幻灯片
"Available Version",可用版本
"BG & Space",BG＆Space
"BG 3D Depth","BG 3D深度"
"BG Color",BG颜色
"BG Filter",BG过滤器
"BG Fit","BG 适合"
"BG Image",BG图像
"BG Speed",BG速度
"BG in Frame",BG在框架中
Back,背部
"Back to Overview",回到概述
Background,背景
"Background Color",背景颜色
"Background Video",背景视频
Backward,向后
"Bad Request",错误的请求
"Basic Transforms",基本变换
Basics,基本
"Bearer Token is good, check your query","Bearer Token很好，请检查您的查询"
"Behind Layers (Back)",层背后（背面）
"Blank Page Created",空白页面已创建
"Blank page has been created:",已创建空白页：
"Blank slide",空白幻灯片
"Blend Mode",混合模式
Block,块
"Block Color",块颜色
"Block Scroll",阻止滚动
"Block to Bottom",阻止底部
"Block to Left",阻止到左边
"Block to Right",阻止到右边
"Block to Top",阻止顶部
Blur,模糊
"Body Class",身体类
Border,边界
"Border Color",边框颜色
"Border Style",边框风格
Both,都
Bottom,底部
"Box Shadow",盒子阴影
"Break At",休息时间
"Browser Width",浏览器宽度
"Browser behavior",浏览器行为
"Building Select Boxes",建立选择框
"Bulk Slide",批量幻灯片
Bullets,子弹
"Bullets Style",子弹风格
"Bullets Type",子弹类型
"Bullets Visibility",子弹可见性
Button,按键
Buttons,纽扣
"CSS/JS Editor","CSS / JS编辑器"
"CUSTOM CSS","习惯 CSS"
"CUSTOM JS","习惯 JS"
"Cache (sec)","高速缓存 (第二)"
"Cache (sec):","高速缓存 (第二):"
"Call Back",打回来
"Call this function to pause the slider.","调用此函数暂停 slider。"
"Call this function to play the slider if it is paused.","调用此函数来播放 slider 如果它被暂停。"
"Call this function to start the slider.","将此功能称为 slider。"
"Can not be Empty",不能为空
"Can not be rendered in Editor. Please preview in Frontend.",无法在编辑器中呈现。请在前端预览。
"Can't create zip file: ",无法创建zip文件：
"Can't modify a default preset of default navigations",无法修改默认预设的默认导航
Cancel,取消
"Cancel & Reload Later",取消并稍后重新加载
Capitalize,大写
Carousel,圆盘传送带
"Carousel Layout",轮播布局
Categories,分类
Categories:,分类：
"Changes that you made may not be saved.",您所做的更改可能无法保存。
"Changing Screen Size",改变屏幕尺寸
Channel,渠道
"Channel ID",频道ID
"Check Requirements",检查要求
"Check for Updates",检查更新
"Choose Image",选择图像
"Choose Video",选择视频
Circle,圈
Clear,明确
"Cleared Albums",清除相册
Click,点击
"Click to Choose",点击选择
Close,关
"Close Slider Modal","关 Slider 弹出"
Color,颜色
"Color in Frame",框架中的颜色
Colored,有色
"Column Settings",列设置
Columns,列
"Coming Slide as jQuery Object","未来 Slide 如 jQuery 对象"
"Connection to Update Server Failed",与更新服务器的连接失败
"Cons. Secret",消费者。秘密
"Consumer Key",消费者密钥
Content,内容
"Content Based",基于内容
"Content and Width Based",基于内容和宽度
Controls,控制
Copy,复制
"Copy Embed Code",复制嵌入代码
"Copy Shortcode",复制短代码
"Copyright & Licensing - Slider Revolution Library","版权和许可 -  Slider Revolution Library"
Corners,角落
"Could not create Slide",无法创建幻灯片
"Could not create Slider",无法创建Slider
"Could not fetch Facebook albums",无法获取Facebook专辑
"Could not fetch YouTube playlists",无法获取YouTube播放列表
Cover,覆盖
"Cover Color",封面颜色
"Create Blank Page",创建空白页面
"Creation Ascending",创造升序
Credits,积分
"Current <li> Index",当前<li>指数
"Current Level",当前水平
"Current Slide","当前 Slide"
"Current Slide as jQuery Object","当前 Slide 如 jQuery 对象"
Cursor,光标
Curved,弯曲
Custom,习惯
"Custom CSS","习惯 CSS"
"Custom Inline & Hover CSS",自定义内联和悬停CSS
"Custom Size",习惯尺寸
"Custom Size is currently Disabled",习惯尺寸目前已停用
CustomCSS,"习惯 CSS"
Dashed,虚线
Date,日期
"Date Modified",修改日期
"Date Published",发布日期
"Date created",创建日期
"Debug Mode",调试模式
"Decision Modal Title",决策模式标题
"Decrease Module Height",降低模块高度
Default,默认
"Default (Global Settings)",默认（全局设置）
"Default Basics",默认基础知识
"Default New Layer Settings",默认新图层设置
"Default Setting",默认设置
"Default Settings for Layer",图层的默认设置
Defaults,默认
Delete,删除
"Delete All Sliders and Folders included in ","删除所有 Sliders 和文件夹包括在内"
"Delete Slide","删除 Slide"
"Delete Slider","删除 Slider"
"Delete Template ?",删除模板？
"Deleting Slider","删除 Slider"
"Deletion failed",删除失败
"Depricated Function !<br>Only visible by Rendering. Limited influence on Styled Layers. Custom CSS Inline will be removed in Version 6.2","已删除的功能！<br>仅可通过渲染查看。对样式图层的影响有限。习惯CSS 内联将在版本中删除 6.2"
Depths,深渊
"Deregister this Code",取消注册此代码
"Deregistration failed!",撤销注册失败！
Descending,降序
Description,描述
Desktop,桌面
"Desktop Swipe Enabled",桌面滑动已启用
"Diagonal From",对角线
"Diff. Anim",DIFF。动画
Dimension,尺寸
Direction,方向
Disable,禁用
"Disable Add-On","禁用 Add-On"
"Disable Blur/Focus behav.","禁用 模糊/焦点行为."
"Disable Global Add-On",禁用全局加载项
"Disable Ken B.","禁用Ken Burns"
"Disable Mobile",禁用手机
"Disable Slider",禁用Slider
"Disable on Mobile",禁用手机
Disabled,残
"Disabled - Time Based","禁用 - 基于时间"
"Disabling Add-On",禁用Add-On
"Dismiss Messages",关闭消息
Display,显示
"Display a gallery",显示图库
"Do It",做吧
"Do you want to start the Update process?",您想要启动更新过程吗？
Docs,文件
Done,完成
"Dont Do It",不要这样做
"Dont Force Fullwidth",不要强制全宽
Dotted,带点
Double,双
"Downloading the Zip File may take a few moments.",下载Zip文件可能需要一些时间。
"Drag & Drop Import File",拖放导入文件
"Drag to Select",拖动到选择
Duplicate,重复
"Duplication Failed",复制失败
Duration,持续时间
"Dynamic Viewport Loading",动态视口加载
"Ease Speed",缓解速度
Easing,缓解
"Edge to Middle",边缘到中间
"Edit Page",编辑页面
"Editor View",编辑观点
"Editor is Loading...",编辑正在加载......
Effect,影响
Effects,效果
Elements,分子
Embed,嵌
"Empty Placeholder",空占位符
"Enable Add-On","启用 Add-On"
"Enable Global Add-On","启用全球 Add-On"
"Enable Loop Effects",启用循环效果
"Enable Spikes",启用峰值
"Enable Timeline Loops",启用时间轴循环
"Enable/Disable Add-On on Module","启用/禁用 Add-On 在模块上"
Enabled,启用
"Enabled - Scroll Based","已启用 - 基于滚动"
"Enabling Add-On",启用Add-On
End,结束
"End Frame",结束帧
"Enter Access Secret","输入Access Secret"
"Enter Access Token",输入访问令牌
"Enter Api Key","输入Api Key"
"Enter Channel Name",输入频道名称
"Enter Consumer Key",输入消费者密钥
"Enter Container .class or #id","输入Container .class或#id"
"Enter External URL",输入外部URL
"Enter Fullscreen",进入全屏
"Enter Gallery URL",输入图库URL
"Enter Group Name",输入组名称
"Enter Group URL",输入组URL
"Enter Image URL",输入图片网址
"Enter Link",输入链接
"Enter MPEG Source","输入MPEG Source"
"Enter Preset Name to Save or Delete",输入预设名称以保存或删除
"Enter Purchase Code",输入购买代码
"Enter Secret",输入秘密
"Enter Twitter Name",输入Twitter名称
"Enter User Name",输入用户名
"Enter User URL",输入用户URL
"Enter Video ID",输入视频ID
"Enter Vimeo ID","输入Vimeo ID"
"Enter YouTube Channel ID",输入YouTube频道ID
"Enter YouTube ID","输入YouTube ID"
"Enter a Module name",输入模块名称
"Enter your Api Key",输入您的Api密钥
"Error downloading layers",下载图层时出错
"Error downloading layers data",下载图层数据时出错
"Error downloading object",下载对象时出错
Events,活动
"Exceeded filesize limit.",超出文件大小限制。
Excerpt,摘抄
"Exit Fullscreen",退出全屏
Export,出口
"Export Slider",导出Slider
"External Image",外部图像
"External Scroll",外部滚动
FOLDER,夹
FONT,字形
"FaceBook Settings",FaceBook设置
"Factor on Layers",层上因素
"Factory Skins",工厂皮肤
Fade,褪色
"Failed to Move Slider Into Folder","移动失败Slider进入文件夹 "
"Failed to Update Tags",无法更新标签
"Failed to update Title",无法更新标题
"Fallback Settings",后备设置
"Favorite Changed",最喜欢的改变
"Favorite Count",最爱的伯爵
Favorites,最爱
"Featured Images",特色图片
"Featured Only",仅限精选
"Fetch By",获取
"File Succesfully Imported",文件成功导入
Filename,文件名
Filter,过滤
"Filter Effect Scroll Based",滤镜效果滚动
"Filter Effect Scroll is now generally Enabled",滤镜效果滚动现在通常已启用
Filters,过滤器
"Find My Code",找到我的代码
"Finnished with slide change",完成幻灯片更改
"First Slide",第一张幻灯片
"Five Spikes",五尖刺
"Fixed on Top",固定在顶部
"Flickr Settings",Flickr设置
Float,浮动
Folder,夹
"Folder Creation Failed",文件夹创建失败
"Folder Deleted",文件夹已删除
"Folder Deletion Failed",文件夹删除失败
Follow,跟随
"Follow Link",关注链接
Font,字形
"Font & Icon",字体和图标
"Font Family",字体系列
"Font Icons",字体图标
"Force Cover Mode",强制覆盖模式
"Force Lazy Loading",强制延迟加载
"Force Overflow Visible",强制溢出可见
Forward,向前
"Four Spikes",四个尖刺
"Frame Alias",帧别名
"Frame M",框架M.
"Frame N",帧N.
"Frame Size can not be Extended. Not enough Space.",帧大小无法扩展。没有足够的空位。
From,从
"From Bottom",从底部
"From Left",从左边开始
"From Right",来自右边
"From Slider Settings","从Slider
设置 "
"From Stream",来自Stream
"From Top",从顶部
Front,面前
"Full Height",全高
"Full Width",全屏宽度
Full-Screen,全屏
Full-Width,全屏宽度
"Fullscreen Actions",全屏操作
Function,功能
"Function Not Available in Demo Mode",功能在演示模式下不可用
Gallery,画廊
"Gallery URL",图库URL
Gap,间隙
"Gap (Border)",差距（边界）
General,一般
"General Settings",常规设置
"Get a Purchase Code",获取购买代码
"Get the amount of existing slides in the slider.",获取滑块中现有幻灯片的数量。
"Get the current focused slide index.",获取当前关注的幻灯片索引。
"Get the previously played slide.",获取之前播放的幻灯片。
Global,全球
"Global Layer Settings",全局图层设置
"Global Layers",全局图层
"Global Layers Timeline",全局图层时间轴
"Global Settings",全局设置
"Global Settings not saved/updated",全局设置未保存/更新
"Global Settings saved/updated",全局设置已保存/更新
"Global Style Presets",全局样式预设
"Global Value ! Option to find under Slider Settings - Parallax Tab","全球价值！在滑块设置 - 视差选项卡下查找的选项"
Globals,全局
"Go To Slide","去 Slide"
"Go To Slide with ID",去Slide同ID
"Go to 1st Frame ",转到第一帧
"Go to Editor",转到编辑
"Go to Last Frame",转到最后一帧
"GoTo Frame",GoTo框架
"Good Afternoon ",下午好
"Good Evening ",晚上好
"Good Morning ",早上好
"Google Fonts",谷歌字体
Grayscale,灰度
"Grid = Module",网格=模块
Group,组
"Group URL",组URL
"HTML5 Autoplay",HTML5自动播放
"HTML5 Video",HTML5视频
Handle,处理
Handling,处理
Headlines,标题
Height,高度
"Height Attrib.",高度属性
Hidden,隐
"Hidden in Navigation",隐藏在导航中
"Hide ""Under"" Width",隐藏“在”宽度下
"Hide Highlight Boxes",隐藏突出显示框
"Hide Over",隐藏
"Hide Under",隐藏下
"Hide Under Browser width...",在浏览器宽度下隐藏...
"Hierarchy Sticky",层次结构粘滞
High,高
"Higher Level",更高层次
Horizontal,横
Hover,徘徊
"Hover View",悬停视图
"I have a Purchase Code",我有购买代码
ICON,图标
"ID of Element","ID 元素"
IMAGE,图片
IN,在
Icon,图标
"Icon / SVG","图标/ SVG"
Idle,闲
"If you want to use your purchase code on<br>another domain, please deregister it first or",如果您想在另一个域上使用您的购买代码，请先取消注册或
"Ignore Lazy Loading",忽略延迟加载
Image,图片
"Image Layer Content",图像层内容
"Image URL",图片网址
"Image from Stream if exist",如果存在，来自Stream的图像
"Image from Stream if exists",如果存在，来自Stream的图像
"Image is Loading...",图片正在加载......
Images,图片
"Import Layer",导入图层
"Import Report",导入报告
"Import Selected Layers",导入所选图层
"Import file not found",找不到导入文件
Imported,进口
"Importing Layers...",导入图层...
"In Stock Only",仅限库存
"Index of Current Slide",当前幻灯片的索引
"Infinity Scroll",无限滚动
Inherit,继承
"Initialization Delay",初始化延迟
"Inline Mode",内联模式
Inline-Block,inline-block的
Inner,内
"Inner / Outer",内/外
"Instagram Settings",Instagram设置
"Instagram reports: Content did not match expected",Instagram报道：内容与预期不符
"Instagram reports: Content is private",Instagram报道：内容是私密的
"Instagram reports: Parse script error",Instagram报道：解析脚本错误
Install,安装
"Install Add-On",安装Add-On
"Install Template",安装模板
"Install Template Package",安装模板包
Installed,安装
"Installed Version",已安装的版本
"Installing Add-On",安装Add-On
"Installing Template",安装模板
"Instant Updates",即时更新
"Intelligent Inheriting",智能继承
Interaction,相互作用
"Invalid Email",不合规电邮
"Invalid Email/Could not connect to the Newsletter server",无效的电子邮件/无法连接到新闻稿服务器
"Invalid ID",ID无效
"Inverse Toggled Content",反向切换内容
"Invert Horizontal",反转水平
"Invert Vertical",反转垂直
"John Doe",约翰·多伊
"Jump to Slide",跳到Slide
"Keep Auto Sizes",保持自动大小
"Keep Breakpoint Heights",保持断点高度
"Keep Last State",保持最后状态
"Ken Burns",肯伯恩斯
Keyboard,键盘
"Keyboard Arrow Navigation",键盘箭头导航
"Keyboard Settings",键盘设置
Keyframe,关键帧
"Keyframe #",关键帧＃
Keyframes,关键帧
"Kill Slider","杀 Slider"
LAYERS,图层
Large,大
"Large Controls",大型控制
"Large Square",大广场
"Last Frame",最后一帧
"Last Slide",持续Slide
"Last Slide Started, Slider is at the end",最后一张幻灯片开始，Slider就在最后
"Last slide starts",上一张幻灯片开始
Layer,层
"Layer Action (enterstage, enteredstage, leavestage,leftstage)",图层动作（输入，进入舞台，离开舞台，离开舞台）
"Layer Actions",图层操作
"Layer Align",图层对齐
"Layer Area",图层区域
"Layer Area Size",图层区域大小
"Layer Container",图层容器
"Layer Events",图层事件
"Layer ID",图层ID
"Layer Import",图层导入
"Layer Library",图层库
"Layer Loop Animations",图层循环动画
"Layer Looping Effects",层循环效果
"Layer Objects",图层对象
"Layer Options",图层选项
"Layer Type (image,video,html)",图层类型（图像，视频，html）
"Layer as jQuery Object",图层为jQuery对象
"Layer is Global",图层是全局的
"Layer options",图层选项
"Layer with Action",层与行动
Layers,图层
"Layers Importing",图层导入
"Layers Overflow Hidden",图层溢出隐藏
"Layers Speed",图层速度
"Layers Visible",图层可见
"Layers are Selectable",图层是可选择的
"Layers default Enabled",图层默认为已启用
Layout,布局
"Lazy Loading",延迟加载
"Leave without Save",离开时不保存
"Leaving current Page",离开现在
Left,剩下
"Left Arrow",左箭头
"Left Bottom",左下角
"Left Corner",左角
"Left Spike",左穗
"Left Top",左上方
"Left/Right Arrow Keys",左/右箭头键
Less,减
Level,水平
"License validation issue Occured. Please contact our Support.",许可证验证问题已发布。请联系我们的支持。
"Limit Excerpt",限制摘录
Line,线
"Line Break",越线
Line-through,行通
"Link & Seo",Link＆Seo
"Link Actions",链接操作
"Link Target",链接目标
"Link Type",链接类型
"Link URL",链接URL
"Link to Slide",链接到幻灯片
Load,加载
"Load Loop Template",加载循环模板
"Loaded Google Fonts",已加载的Google字体
Loading,载入中
"Loading Configuration",加载配置
"Loading Content...",正在加载内容
"Loading Error",加载错误
"Loading Error: ",加载错误：
"Loading RevMirror Library...",加载RevMirror库...
"Loading Thumbnails...",正在加载缩略图...
"Loading Type",装载类型
"Lock / Unlock Selected",锁定/解锁已选中
"Lock/Unlock Selected",锁定/解锁已选中
Loop,环
"Loop All Layer Timeline",循环所有图层时间轴
"Loop Amount",循环金额
"Loop Layer",循环层
"Loop Layers",循环图层
"Loop Mode",循环模式
"Loop One Slide",循环一幻灯片
"Loop Template",循环模板
"Low Resolution",低解析度
Lowercase,小写
"Main Style",主要风格
"Manual Import",手动导入
"Marked Layers",标记的图层
Markup,标记
"Markup Meta",标记元
Mask,面具
"Max Blur Strength",最大模糊力量
"Max Width",最大宽度
"Max. Post Size (256M)",最大。邮政大小（256M）
"Max. Res.","最大。 RES。"
"Max. Visible",最大。可见
"Media Actions",媒体行动
"Media Content",媒体内容
"Media Library",媒体库
"Media Poster",媒体海报
"Media Volume (0-100)",媒体量（0-100）
Medium,介质
"Medium 640",中等640
"Medium 800",中等800
"Memory Limit (256M)",内存限制（256M）
Middle,中间
"Middle To Edge",中到边缘
"Min Height",最小高度
"Min. Finger",闵。手指
Mobile,移动
"Mobile Settings",移动设置
"Mobile Swipe Enabled",移动滑动已启用
"Module .zip",模块.zip
"Module Admin Thumbnail",模块管理员缩略图
"Module Background",模块背景
"Module Classes",模块类
"Module Creation Guide",模块创建指南
"Module Defaults",模块默认值
"Module Dimension",模块尺寸
"Module Dimensions",模块尺寸
"Module Fixed From",模块固定
"Module Fixed Until",模块固定直到
"Module General Options",模块常规选项
"Module ID",模块ID
"Module Naming",模块命名
"Module Position within Wrapper",包装器中的模块位置
"Module Templates",模块模板
"Module Type",模块类型
Modules,模块
"Monospace Fonts",等宽字体
More,更多
Mouse,老鼠
"Mouse Enter",鼠标输入
"Mouse Enter Point",鼠标输入点
"Mouse Interaction",鼠标互动
"Mouse Leave",鼠标离开
"Mouse Move",鼠标移动
"Mouse Move & Scroll",鼠标移动和滚动
"Mouse Speed",鼠标速度
Move,移动
"Multiple Selection",多重选择
"Mute Media",静音媒体
"Mute at Start",开始时静音
"Nav Editor",导航编辑器
"Nav Image Dimensions",导航图像尺寸
"Navig. Thumb",Navig。拇指
"Navigation Editor",导航编辑器
"Navigation Options",导航选项
"Navigation Style",导航风格
"Navigation could not be deleted",导航无法删除
"Navigation not found, could not add preset",找不到导航，无法添加预设
"Navigation not found, could not delete preset",找不到导航，无法删除预设
"Navigation preset deleted",导航预设已删除
"Navigation preset saved/updated",导航预设已保存/更新
"Need Attention by removing",需要注意的是删除
"New Blank Module",新的空白模块
"New Folder",新建文件夹
"New Module from Template",模板中的新模块
"New Version Available. Please Update",新版本可用。请更新
"New Window",新窗户
"Next Frame",下一帧
"Next Slide",下一个Slide
"Next Slide at End",下一个Slide在结束
"Next Step",下一步
"Next on Browser Focus","关于Browser Focus的下一个"
"No Action Selected",没有选择行动
"No Corner",没有角落
"No Data Received",未收到数据
"No Email given",没有电子邮件
"No Follow",没有关注
"No Interaction",没有互动
"No Layers Selected",没有选择图层
"No Poster on Mobile",手机上没有海报
"No Shadow",没影子
"No Special Effect",没有特效
"No Spikes",没有尖峰
"No Sticky Keyframes",没有粘性关键帧
"No Style",没有风格
"No data received",未收到数据
"No file sent.",没有发送文件。
"No further source settings needed. Content is created manually.",无需进一步的源设置。内容是手动创建的。
"No response on action",对行动没有回应
None,没有
"None of the Settings changed. There is Nothing to Save",没有任何设置更改。没有什么可以节省的
