" should be numeric",应该是数字
Normal,正常
"Not Activated",未激活
"Not Enough space between Frames.",帧之间没有足够的空间。
"Not Installed",未安装
Notebook,笔记本
"Nothing Selected",没有选择
"Number of Comments",评论数量
"Number of Likes",喜欢的数量
"Number of Views",观看次数
OBJECT,宾语
"Object Library",对象库
"Object could not be loaded",无法加载对象
Objects,对象
"Offset (Tilt) Effect",偏移（倾斜）效果
"Offset to Scroll Position",偏移到滚动位置
"On - Skip 1st Time Slide","On  -  Skip 1st Time Slide"
"On IE8",在IE8上
"On Mobile",在移动
"On Mobile and IE8",在移动和IE8上
"On Scroll",在滚动
"On Scroll Details",在滚动详细信息上
"On Scroll can be Added per Slider in the General Options",可以在“常规选项”中为每个滑块添加“滚动”
"On Stage",在舞台上
"Only 1st Time Slide shown",只有第一次Slide显示
"Only Manual &lt;br/&gt;","只有手动＆lt; br /＆gt;"
"Only Poster on Mobile",只有移动海报
Ooppps....,"Ooppps ...."
"Open Document",打开文档
"Open Modal",打开弹出
"Open Slide",打开Slide
"Open Slider Modal",打开Slider弹出
Opening,开盘
"Option is depricated and will be removed in upcoming updates !",选项已被删除，将在即将发布的更新中删除！
"Optional OGV Source",可选的OGV来源
"Optional WEBM Source",可选的WEBM源
Orientation,取向
Origin,起源
Original,原版的
"Original Size",原始尺寸
"Other 1. Slide",其他1.Slide
"Other Folders",其他文件夹
"Outer Horizontal",外水平
"Outer Vertical",外垂直
"Over Layers (Front)",在图层上（正面）
Overflow,溢出
Overlay,覆盖
Overline,上划线
"Override Style on Slide",覆盖样式Slide
"Overwrite Template ?",覆盖模板？
"Own Modules",自己的模块
PACKAGE,包
"Page URL",页面URL
"Page is reloading...",页面正在重新加载......
"Pan Zoom Settings",平移缩放设置
Parallax,视差
"Parallax & 3D",视差和3D
"Parallax & 3D Settings",视差和3D设置
"Parallax Enabled",视差已启用
"Parallax Level",视差水平
"Parallax Orig.",原版的Parallax。
"Parallax is now generally Enabled",Parallax现在通常已启用
"Parameter 1",参数1
"Parameter 10",参数10
"Parameter 2",参数2
"Parameter 3",参数3
"Parameter 4",参数4
"Parameter 5",参数5
"Parameter 6",参数6
"Parameter 7",参数7
"Parameter 8",参数8
"Parameter 9",参数9
Parameters,参数
"Parent Level",家长级别
Paste,糊
Pause,暂停
"Pause Slider",暂停Slider
"Per Page",每页
"Pick an Item",选择一个项目
"Place the shortcode on the page or post where you want to show this modal.",将短代码放在页面上或发布您要显示此模式的位置。
"Place the shortcode on the page or post where you want to show this module.",将短代码放在要显示此模块的页面或帖子上。
Placeholder,占位符
"Play Slide",玩Slide
Playlist,播放列表
"Please Wait a Moment",请稍等片刻
"Please Wait...",请耐心等待...
"Please activate Slider Revolution","请激活Slider Revolution"
"Please add at least one Layer.",请添加至少一个图层。
"Please select an Addon to start with.",请选择一个Addon开头。
"Please select the correct zip file, checksum failed!",请选择正确的zip文件，校验和失败！
"Plugin Updates",插件更新
"Plugin deregistered",插件已取消注册
"Plugin is not Registered",插件未注册
"Plugin not activated",插件未激活
"Plugin successfully activated",插件已成功激活
"Pointer Event",指针事件
Position,位置
"Position & Size",位置和大小
"Post Title",帖子标题
"Post content",发布内容
"Post content limit by chars",通过字符发布内容限制
"Post content limit by words",通过单词发布内容限制
"Poster Image",海报图片
"Poster from Stream if exist",如果存在，来自Stream的海报
"Poster in Pause",暂停海报
Posts,帖子
Preload,预载
"Prepared for slide change",准备好了slide更改
"Preparing Data...",准备数据......
Preset,预置
"Preset could not be saved/values are the same",无法保存预设/值是相同的
"Preset handle already exists, please choose a different name",预设手柄已存在，请选择其他名称
"Preset not found",预设未找到
"Preset not found in default navigations",默认导航中未找到预设
Presets,预置
"Prev Size",上一个尺寸
"Prev. Slide as jQuery Object",以前Slide如jQuery对象
Preview,预习
"Preview Image",预览图片
"Previous Frame",以前帧
"Previous Slide",以前Slide
"Previous Slide as jQuery Object","以前Slide如jQuery对象
"
"Previous Step",前一步
"Processing Import of",加工进口
Product,产品
Progress,进展
"Progress Bar",进度条
"Pub. Rules",发布规则
Publish,发布
Published,发布时间
"Purchase Code already registered!",购买代码已经注册！
"Purchase Code could not be validated",购买代码无法验证
"Purchase Code is invalid",购买代码无效
"Purchase Code was locked, please contact the ThemePunch support!",购买代码已被锁定，请联系ThemePunch支持！
"Put JS to Body",把JS放到Body身上
"Quick Style",快速风格
"Quick Style Content",快速风格内容
"Quick Style Headline",快速风格标题
"Quit Guide",退出指南
"RTL Direction",RTL方向
Random,随机
"Random Order",随机顺序
"Re-Download Online",在线重新下载
ReTweets,锐推
"Recalculate all positions, sizing etc in the slider.  This should be called i.e. if Slider was invisible and becomes visible without any window resize event.",重新计算滑块中的所有位置，大小等。这应该被调用，即如果Slider是不可见的并且在没有任何窗口调整大小事件的情况下变得可见。
Rectangle,长方形
"Redirecting to Overview Page",重定向到概述页面
"Redraw Slider",重绘Slider
"Refresh Source",刷新源
"Register Purchase Code",注册购买代码
"Register Slider Revolution<br>to Unlock Premium Features","寄存器Slider Revolution<br>解锁高级功能"
"Register this Code",注册此代码
"Register to Unlock",注册解锁
"Register to unlock AddOns",注册以解锁AddOns
"Register to unlock Library",注册解锁图书馆
"Register to unlock Premium Features",注册以解锁高级功能
"Register to unlock Support",注册以解锁支持
"Register to unlock Templates",注册以解锁模板
"Register to unlock Updates",注册以解锁更新
"Register to unlock all Premium Features",注册以解锁所有高级功能
Registered,注册
Regular,定期
Rel,相对
"Release to Upload file",发布到上传文件
"Reload Page",重新加载页面
Remove,去掉
"Remove One Slide with Slide Index from the Slider. Index starts with 0 which will remove the first slide.","删除一个Slide同Slide索引来自Slider 。索引从0开始，将删除第一个slide。"
"Remove Poster",删除海报
"Remove Slide",去掉Slide
Rename,改名
Repeat,重复
Replies,回复
Requirements,要求
Reset,重启
"Reset Children Timeline",重置儿童时间表
"Reset Children Timelines",重置儿童时间表
"Reset Style",重置样式
"Reset before each Loop",在每个循环之前重置
"Resize Between Devices",在设备之间调整大小
"Respect Ratio",尊重比率
Responisvity,响应度
"Responsive Behavior",响应行为
"Responsive Between Devices",设备之间的响应
"Responsive Children",反应迅速的孩子
"Responsive Offsets",响应抵消
Responsivity,响应度
"Restriction !<br>Children Layers of Group, Column and Row will simply restart, without animation from the last loop Frame to first loop frame, independent of the Animate to ""start"" in Loop enabled option.",限制！<br>子组，列和行的子层将只是重新启动，没有动画从最后一个循环帧到第一个循环帧，独立于启用循环选项中的Animate到“start”。
"Resume Slider",恢复Slider
"Retweet Count",转推计数
Reverse,相反
"Reverse Scroll",反向滚动
"Rewind at Start",在开始时回放
Right,对
"Right Arrow",右箭头
"Right Bottom",右下角
"Right Corner",右上角
"Right Spike",右尖刺
"Right Top",右上角
Root,根
"Root Level",根级别
Rotate,旋转
Rotation,回转
Row,行
"Row Position",行位置
"Row Settings",行设置
"SVG Color",SVG颜色
"Same Window",同一个窗口
"Sans-Serif Fonts",Sans-Serif字体
Save,保存
"Save & Reload",保存并重新加载
"Save Configuration",保存配置
"Save Global Settings",保存全局设置
"Save Navigation",保存导航
"Save your project & reload the page or cancel",保存您的项目并重新加载页面或取消
Saved,保存
"Saving Slide",保存Slide
Scale,规模
Scene,现场
"Scroll Based Features",基于滚动的功能
"Scroll Based Timeline is now generally Enabled",现在，基于滚动的时间轴通常已启用
"Scroll Effects",滚动效果
"Scroll Effects Default",滚动效果默认值
"Scroll Effects Settings",滚动效果设置
"Scroll Offset",滚动偏移
"Scroll Position",滚动位置
"Scroll To ID",滚动到ID
"Scroll based Effects",基于滚动的效果
"Scroll below Slider",滚动如下Slider
"Scroll page under the slider.",滚动页面下slider。
"Scroll to ID",滚动到ID
Search,搜索
"Search Icons...",搜索图标...
"Search Modules...",搜索模块......
Select,选择
"Select Album",选择相册
"Select Playlist",选择播放列表
"Select a Layer",选择一个图层
Selectable,可选
Sensibility,感性
"Serif Fonts",Serif字体
"Set All Visible",设置全部可见
"Set a Slide Background Image to use this feature",设置一个Slide背景图像使用此功能
"Set all Timings",设置所有计时
"Set as Editor View",设置为编辑器视图
Settings,设置
"Setup Notes",设置说明
Shadow,阴影
"Shadow Color",阴影颜色
"Shadow Type",阴影类型
"Shadow on",阴影
Shape,形状
"Sharp Corner Extensions",锐角扩展
Shortcode,短代码
"Shortcode Generator",短代码生成器
"Shortcode could not be parsed.",无法解析短代码。
"Shortcode parsing successfull. Items can be found in step 3",短代码解析成功。项目可在第3步中找到
Show,节目
"Show All",显示所有
"Show Always",显示始终
"Show Delay",显示延迟
"Show Highlight Boxes",显示突出显示框
"Show Last Edited Slide",显示上次编辑Slide
"Show Speed",显示速度
"Show all Modules",显示所有模块
"Show if mouse over Slider",显示鼠标悬停Slider
"Show in Editor",在编辑器中显示
"Show/Hide Selected",显示/隐藏选定的
"Simple Link",简单链接
"Simplify on IOS4 / IE8","在IOS4 / IE8上简化"
"Simulate Click",模拟单击
Single,单
"Single Layer Sticky",单层粘性
"Single Select",单选
Size,尺寸
"Size & Pos",尺寸和位置
"Size Presets",大小预设
Sizing,浆纱
"Skip Preload",跳过预加载
"Slide Actions","Slide 操作"
"Slide BG Animation","Slide 背景动画"
"Slide Description","Slide 描述"
"Slide Direction based Mirroring","Slide 基于方向的镜像"
"Slide Duration","Slide 持续时间"
"Slide Length","Slide 长度"
"Slide Link","Slide 链接"
"Slide Options","Slide 选项"
"Slide Saved",Slide保存
"Slide Title","Slide 标题"
"Slide could not be duplicated","Slide 无法复制"
"Slide duplication failed","Slide 重复失败"
"Slide has no Layers","Slide 没有图层"
"Slide not found","Slide 未找到"
"Slide not found in the main slides of the slider. Maybe it","Slide 主要没找到slides的slider 。也许吧"
"Slider After Swap","Slider 交换后"
"Slider Before Swap","Slider 在交换之前"
"Slider Center","Slider 中央"
"Slider Deleted","Slider 删除"
"Slider Import Failed","Slider 导入失败"
"Slider Layout","Slider 布局"
"Slider Loaded","Slider 加载"
"Slider Moved to Folder","Slider 已移至文件夹"
"Slider Overflow Hidden","Slider 溢出隐藏"
"Slider Revolution Plugin updated Failure:","Slider Revolution插件更新失败："
"Slider Revolution Plugin updated Successfully to","Slider Revolution插件已成功更新"
"Slider Revolution Plugin updated Successfully.","Slider Revolution插件已成功更新。"
"Slider Revolution Preview","Slider Revolution预习"
"Slider Revolution Version","Slider Revolution 版"
"Slider Revolution database structure was updated","Slider Revolution数据库结构已更新"
"Slider Revolution encountered the following error: ","Slider Revolution遇到以下错误："
"Slider Settings","Slider 设置"
"Slider Stopped","Slider 停止"
"Slider as Modal","Slider 弹出"
"Slider could not be loaded","Slider 无法加载"
"Slider is Playing after pause","Slider 暂停后播放"
"Slider not found","Slider 未找到"
"Slider paused","Slider 暂停"
"Slider reached the 'stop at' slide","Slider 达到'停在'slide"
"Slider swapped to an other slide","Slider 交换到另一个slide"
"Slides (<25)",Slides（<25）
"Slides (<500)","Slides （<500）"
"Slides (<60)","Slides （<60）"
"Slides default Enabled","Slides 默认启用"
Slideshow,幻灯片
"Slot Amount",槽金额
Small,小
"Small 320",小320
Smart,聪明
Social,社会
"Social Basics (Flickr, Instagram, Twitter, Facebook, YouTube)",社交基础知识（Flickr，Instagram，Twitter，Facebook，YouTube）
Solid,固体
"Some AddOns have new versions available",一些AddOns有新版本可用
"Some Layers are <strong>Locked</strong> and/or <strong>Invisible</strong>.<br>Change Status in Timeline.","某些图层<strong>已锁定</ strong>和/或<strong>不可见</ strong>。<br>更改时间轴中的状态。"
"Some Settings in Slider <strong>Source may not complete</strong>.<br>Please Complete All Settings in Slider Sources.","一些设置Slider <strong>来源可能无法完成</ strong>。<br>请完成滑块源中的所有设置。"
"Sort Direction",排序方向
"Sort by Creation",按创建排序
"Sort by Title",按标题排序
"Sorting & Settings",排序和设置
Source,资源
"Source Size",来源大小
"Source Type",来源类型
"Source must be from Stream",来源必须来自Stream
Spacings,间距
Span,跨度
"Specific Posts",具体帖子
Speed,速度
"Spike Masks",穗状面具
"Spike Width",尖峰宽度
Spinner,微调
"Spinner Color",旋转器颜色
"Spinner Settings",微调器设置
"Split Chars",拆分字符
"Split Lines",分裂线
"Split Words",分裂的话
Square,广场
Standard,标准
"Standard Module Embedding",标准模块嵌入
"Standard Resolution",标准分辨率
Start,开始
"Start Earlier",早点开始
"Start Frame",开始帧
"Start Guide",入门指南
"Start Media",启动媒体
"Start Slider",开始Slider
Static,静态的
"Static Layer",静态层
"Stay in Edior",留在Edior
"Stop Media",停止媒体
"Stop Other Media",停止其他媒体
"Stop Slider Progress",停止滑块进度
"Stop after N Loops",N循环后停止
"Stop on Hover",停在悬停上
Stretch,伸展
"Stretch Slides",伸展Slides
"Stroke Color",中风颜色
Style,样式
"Style Global",风格全球
"Style on Slide",风格上Slide
"Success! Please check your E-Mails to finish the subscription",成功！请检查您的电子邮件以完成订阅
"Successfully fetched Facebook albums",成功获取Facebook专辑
"Successfully fetched YouTube playlists",已成功获取YouTube播放列表
Support,支持
"Swipe Dir",滑动目录
"Swipe Settings",滑动设置
"Switch slider to next slide.","开关slider到下一个slide 。"
"Switch slider to previous slide.","开关slider到以前slide 。"
"Switch to the slide which is defined as parameter.",切换到slide它被定义为参数。
TabIndex,的TabIndex
Tablet,片剂
Tabs,标签
"Tabs Style",标签样式
"Tabs Type",标签类型
"Tabs Visibility",标签可见性
Tags,标签
"Tags Updated",标签已更新
Target,目标
"Target Layer",目标层
"Template & Object Library",模板和对象库
"Template Slider Import Failed","模板Slider 导入失败"
"Template Slider Installation Failed","模板Slider 安装失败"
Text,文本
"Text Align",文字对齐
"Text Color",文字颜色
"Text Shadow",文字阴影
"Text Tweets",文字推文
"Text/Button Layer Content",文本/按钮层内容
"The Current Size is set to ""Auto Size"". Do you want to continue with Custom Size?",“当前大小”设置为“自动大小”。要继续使用自定义尺寸吗？
"The Current Size is set to calculate the Layer grid sizes Automatically.<br>Do you want to continue with Custom Sizes or do you want to keep the Automatically generated sizes ?",“当前大小”设置为自动计算“图层”网格大小。<br>是否要继续使用“自定义大小”或者是否要保留“自动生成的大小”？
"The Purchase Code needs to be set!",购买代码需要设置！
"The changes you made require a page reload!",您所做的更改需要重新加载页面！
"The changes you made will be lost!",你所做的改变将会丢失！
"The following AddOns require an update:",以下AddOns需要更新：
"The link to the post",帖子的链接
"The “Vimeo Stream” content source is used to display a full stream of videos from a user/album/group/channel.<br> If you want to display a single vimeo video, please select the content source “Default Slider” and add a video layer in the slide editor.","“Vimeo Stream”内容源用于显示来自用户/相册/群组/频道的完整视频流。<br>如果要显示单个vimeo视频，请选择内容源“默认Slider”并添加幻灯片编辑器中的视频图层。"
"The “YouTube Stream” content source is used to display a full stream of videos from a channel/playlist.<br> If you want to display a single youtube video, please select the content source “Default Slider” and add a video layer in the slide editor.","“YouTube Stream”内容源用于显示来自频道/播放列表的完整视频流。<br>如果您要显示单个YouTube视频，请选择内容源“默认Slider”并添加视频图层幻灯片编辑器。"
"ThemePunch Server",ThemePunch服务器
"This Guide will help you with the basic configuration *<br>of your Slider Revolution 6 Module.","本指南将帮助您了解Slider Revolution 6模块的基本配置*。"
"This Source Type must be from posts.",此来源类型必须来自帖子。
"This action can not be undone !!","此操作无法撤消 ！！"
"This can be Undone only within the Current session.",这可以仅在当前会话中取消。
"Three Spikes",三个尖刺
"Thumb Type",拇指类型
Thumbnail,缩略图
Thumbs,大拇指
"Thumbs Style",大拇指风格
"Thumbs Visibility",拇指可见性
TimeLine,时间线
Timeline,时间线
"Timeline Scroll Based",时间轴滚动
"Timelines Scroll based",时间轴基于滚动
"Timer Paused",定时器暂停
"Timer Resumed",计时器恢复
Title,标题
"Title Descending",标题降序
"Title updated",标题已更新
To,至
"To Slide",至Slide
"To add the slider only to single Pages, use:","添加slider仅限单页 ，使用："
Toggle,切换
"Toggle ""N/M"" Frames","切换“N / M ”帧"
"Toggle 1st / Last Frame",切换第一帧/最后一帧
"Toggle Class",切换Class
"Toggle Document Body Class on Open and Close of the Modal.",在打开和关闭时切换文档正文类弹出
"Toggle Fullscreen",切换全屏
"Toggle Media",切换媒体
"Toggle Mute All Media",切换静音所有媒体
"Toggle Mute Media",切换静音媒体
"Toggle Slider",切换Slider
"Toggle Start State",切换开始状态
"Toggled (Visible)",切换（可见）
"Toggled in Hover Style",切换为悬停风格
Top,最佳
Touch,触摸
"Transform Idle",变换空闲
Transitions,转变
Transparent,透明
"Trigger Memory",触发记忆
"Triggered By",触发
"Triggered by",触发
"Twitter Settings",Twitter设置
"Two Spikes",两个尖刺
Type,类型
"Unbind all listeners, remove current animations and delete containers. Ready for Garbage collection.",取消绑定所有侦听器，删除当前动画并删除容器。准备垃圾收集。
"Under Mask",在面具下
Underline,强调
"Unlock All",全部解锁
"Unmute Media",取消静音媒体
Unpublished,未公布
Unregistered,未注册
Unselectable,不可选择
Unsorted,未分类
"Untoggled (Hidden)",未遮挡（隐藏）
"Up/Down Arrow Keys",上/下箭头键
"Update All",全部更新
"Update History",更新历史记录
"Update Later",稍后更新
"Update List",更新清单
"Update Now",现在更新
"Update Plugin",更新插件
"Update Row",更新行
Updates,更新
Updating,更新
"Updating Lists",更新列表
"Updating Plugin Failed",更新插件失败
"Updating Plugin...",更新插件......
"Updating the Plugin may take a few moments.",更新插件可能需要一些时间。
"Upload Max. Filesize (256M)",上传最大。文件大小（256M）
"Upload folder writable",上传文件夹可写
Uppercase,大写
"Use Clip Path",使用剪辑路径
"Use Cover",使用封面
"Use Custom Sizes",使用自定义大小
"Use Default on...",使用默认值...
"Use Full Screen or Full Width Layout to Use Fixed Scroll.",使用全屏或全宽布局使用固定滚动。
"Use Image",使用图片
"Use LineBreaks only in Columns",仅在列中使用LineBreaks
"Use Masking",使用掩蔽
"Use Slide Loop",使用幻灯片循环
"Use Toggle",使用切换
User,用户
"User Public Photos",用户公开照片
"User URL:",用户网址：
Username,用户名
VIDEO,视频
Velocity,速度
Vertical,垂直
"Vertical Align",垂直对齐
Video,视频
"Video API",视频API
"Video ID",视频ID
"Video Settings",视频设置
"Video cover could not be loaded",无法加载视频封面
"Video from Stream if exist",如果存在，来自Stream的视频
"Video from Stream if exists",Stream中的视频（如果存在）
"Video in Active Slide",视频有效Slide
"Video is playing",视频正在播放
"Video is playing in slider",正在播放视频slider
"Video is stopped",视频已停止
"Video stopped in slider",视频停在了slider
Videos,影片
"ViewPort Stop",ViewPort停止
Views,查看
Vimeo,Vimeo的
"Vimeo Settings",Vimeo设置
"Vimeo Video",Vimeo视频
Visibility,能见度
Visible,可见
"Visible amount",可见金额
"Visible in Navigation",在导航中可见
"Visit Page",访问页面
WAIT,等待
Wait,等待
"Wait for API",等待API
"Wait for Action",等待行动
Warning,警告
"Welcome to Slider Revolution 6","欢迎来到Slider Revolution 6"
"What should happen Next?",接下来会发生什么？
"Where do you want to move the Inherited Layers?",你想在哪里移动继承层？
"Width Attrib.",宽度属性
"Width Based",基于宽度
Word,字
"Wrapper Container","Wrapper 容器"
"Wrapper Max Height","Wrapper 最大高度"
"Wrong category format",错误的类别格式
"Wrong export slider file format! Please make sure that the uploaded file is either a zip file with a correct slider_export.txt in the root of it or an valid slider_export.txt file.","错误的出口slider 文件格式！请确保上传的文件是zip文件，其根目录中包含正确的slider_export.txt或有效的slider_export.txt文件。"
"Wrong request!",错误的要求！
"Yes, Delete All Slider(s)",是的，删除所有Slider(s)
"Yes, Delete Slide",是的，删除Slide
"Yes, Delete Slider",是的，删除Slider
"Yes, Export Slider","是的, 出口Slider"
"You are running Slider Revolution ","你正在运行Slider Revolution"
YouTube,YouTube的
"YouTube Poster",YouTube海报
"YouTube Settings",YouTube设置
"YouTube Thumb",YouTube拇指
"YouTube Video",YouTube视频
Youtube,的Youtube
"Z Position",Z位置
"Zoom In",放大
"Zoom Out",缩小
"as HTML Document",如HTML文献
auto,汽车
"by Container",通过Container
"by PX or %",按PX或％
"coma separated list | ex: 23,24,25","分开的清单：23,24,25"
"could not find correct Slide to copy, please try again.",找不到正确的幻灯片复制，请再试一次。
from,从
"jQuery No Conflict Mode",jQuery没有冲突模式
"jQuery Triggered",jQuery触发
"javaScript Function",javaScript函数
"left bottom",左下角
"left center",离开中心
"left top",左上角
"on Action",在行动
or,要么
"right bottom",右下角
"right center",正确的中心
"right top",右上角
"slider_export.txt does not exist!",slider_export.txt不存在！
to,至
"youtube, vimeo, html5",youtube，vimeo，html5
